model,max_train_sides,max_eval_sides,train_samples,eval_samples,accuracy,correct,wrong,top_mixups,reason_counts
cnn,3,3,158,161,0.596273,96,65,"[[""circle"", ""polygon_3"", 57], [""polygon_3"", ""circle"", 8]]","{""geometric similarity or ambiguous mask"": 22, ""shape too small or mostly lost in extraction"": 22, ""small bounding box"": 21}"
cnn,3,4,158,239,0.401674,96,143,"[[""circle"", ""polygon_3"", 57], [""polygon_4"", ""polygon_3"", 52], [""polygon_4"", ""circle"", 26], [""polygon_3"", ""circle"", 8]]","{""geometric similarity or ambiguous mask"": 52, ""shape too small or mostly lost in extraction"": 56, ""small bounding box"": 35}"
cnn,3,5,158,307,0.312704,96,211,"[[""circle"", ""polygon_3"", 57], [""polygon_4"", ""polygon_3"", 52], [""polygon_5"", ""polygon_3"", 52], [""polygon_4"", ""circle"", 26], [""polygon_5"", ""circle"", 16], [""polygon_3"", ""circle"", 8]]","{""geometric similarity or ambiguous mask"": 72, ""shape too small or mostly lost in extraction"": 86, ""small bounding box"": 53}"
cnn,3,6,158,382,0.251309,96,286,"[[""circle"", ""polygon_3"", 57], [""polygon_6"", ""polygon_3"", 53], [""polygon_4"", ""polygon_3"", 52], [""polygon_5"", ""polygon_3"", 52], [""polygon_4"", ""circle"", 26], [""polygon_6"", ""circle"", 22], [""polygon_5"", ""circle"", 16], [""polygon_3"", ""circle"", 8]]","{""geometric similarity or ambiguous mask"": 101, ""shape too small or mostly lost in extraction"": 111, ""small bounding box"": 74}"
cnn,4,3,226,161,0.614907,99,62,"[[""circle"", ""polygon_3"", 31], [""polygon_3"", ""circle"", 20], [""circle"", ""polygon_4"", 8], [""polygon_3"", ""polygon_4"", 3]]","{""geometric similarity or ambiguous mask"": 20, ""shape too small or mostly lost in extraction"": 22, ""small bounding box"": 20}"
cnn,4,4,226,239,0.451883,108,131,"[[""polygon_4"", ""circle"", 37], [""polygon_4"", ""polygon_3"", 32], [""circle"", ""polygon_3"", 31], [""polygon_3"", ""circle"", 20], [""circle"", ""polygon_4"", 8], [""polygon_3"", ""polygon_4"", 3]]","{""geometric similarity or ambiguous mask"": 45, ""shape too small or mostly lost in extraction"": 54, ""small bounding box"": 32}"
cnn,4,5,226,307,0.351792,108,199,"[[""polygon_4"", ""circle"", 37], [""polygon_5"", ""polygon_3"", 35], [""polygon_4"", ""polygon_3"", 32], [""circle"", ""polygon_3"", 31], [""polygon_5"", ""circle"", 27], [""polygon_3"", ""circle"", 20], [""circle"", ""polygon_4"", 8], [""polygon_5"", ""polygon_4"", 6], [""polygon_3"", ""polygon_4"", 3]]","{""geometric similarity or ambiguous mask"": 65, ""shape too small or mostly lost in extraction"": 84, ""small bounding box"": 50}"
cnn,4,6,226,382,0.282723,108,274,"[[""polygon_4"", ""circle"", 37], [""polygon_5"", ""polygon_3"", 35], [""polygon_6"", ""polygon_3"", 35], [""polygon_6"", ""circle"", 33], [""polygon_4"", ""polygon_3"", 32], [""circle"", ""polygon_3"", 31], [""polygon_5"", ""circle"", 27], [""polygon_3"", ""circle"", 20], [""circle"", ""polygon_4"", 8], [""polygon_6"", ""polygon_4"", 7]]","{""geometric similarity or ambiguous mask"": 94, ""shape too small or mostly lost in extraction"": 109, ""small bounding box"": 71}"
cnn,5,3,311,161,0.552795,89,72,"[[""circle"", ""polygon_5"", 35], [""circle"", ""polygon_3"", 21], [""polygon_3"", ""polygon_5"", 10], [""polygon_3"", ""circle"", 6]]","{""geometric similarity or ambiguous mask"": 24, ""shape too small or mostly lost in extraction"": 30, ""small bounding box"": 18}"
cnn,5,4,311,239,0.376569,90,149,"[[""circle"", ""polygon_5"", 35], [""polygon_4"", ""polygon_5"", 35], [""polygon_4"", ""circle"", 23], [""circle"", ""polygon_3"", 21], [""polygon_4"", ""polygon_3"", 19], [""polygon_3"", ""polygon_5"", 10], [""polygon_3"", ""circle"", 6]]","{""geometric similarity or ambiguous mask"": 53, ""shape too small or mostly lost in extraction"": 64, ""small bounding box"": 32}"
cnn,5,5,311,307,0.397394,122,185,"[[""circle"", ""polygon_5"", 35], [""polygon_4"", ""polygon_5"", 35], [""polygon_4"", ""circle"", 23], [""circle"", ""polygon_3"", 21], [""polygon_4"", ""polygon_3"", 19], [""polygon_5"", ""polygon_3"", 17], [""polygon_5"", ""circle"", 17], [""polygon_3"", ""polygon_5"", 10], [""polygon_3"", ""circle"", 6], [""polygon_5"", ""polygon_4"", 2]]","{""geometric similarity or ambiguous mask"": 67, ""shape too small or mostly lost in extraction"": 81, ""small bounding box"": 37}"
cnn,5,6,311,382,0.319372,122,260,"[[""polygon_6"", ""polygon_5"", 36], [""circle"", ""polygon_5"", 35], [""polygon_4"", ""polygon_5"", 35], [""polygon_6"", ""circle"", 25], [""polygon_4"", ""circle"", 23], [""circle"", ""polygon_3"", 21], [""polygon_4"", ""polygon_3"", 19], [""polygon_5"", ""polygon_3"", 17], [""polygon_5"", ""circle"", 17], [""polygon_6"", ""polygon_3"", 14]]","{""geometric similarity or ambiguous mask"": 96, ""shape too small or mostly lost in extraction"": 106, ""small bounding box"": 58}"
cnn,6,3,400,161,0.354037,57,104,"[[""circle"", ""polygon_5"", 33], [""circle"", ""polygon_3"", 28], [""circle"", ""polygon_6"", 21], [""polygon_3"", ""polygon_5"", 15], [""polygon_3"", ""polygon_6"", 4], [""polygon_3"", ""circle"", 2], [""polygon_3"", ""polygon_4"", 1]]","{""geometric similarity or ambiguous mask"": 46, ""shape too small or mostly lost in extraction"": 30, ""small bounding box"": 28}"
cnn,6,4,400,239,0.242678,58,181,"[[""polygon_4"", ""polygon_3"", 34], [""circle"", ""polygon_5"", 33], [""circle"", ""polygon_3"", 28], [""polygon_4"", ""polygon_5"", 27], [""circle"", ""polygon_6"", 21], [""polygon_3"", ""polygon_5"", 15], [""polygon_4"", ""polygon_6"", 9], [""polygon_4"", ""circle"", 7], [""polygon_3"", ""polygon_6"", 4], [""polygon_3"", ""circle"", 2]]","{""geometric similarity or ambiguous mask"": 75, ""shape too small or mostly lost in extraction"": 64, ""small bounding box"": 42}"
cnn,6,5,400,307,0.270358,83,224,"[[""polygon_4"", ""polygon_3"", 34], [""circle"", ""polygon_5"", 33], [""polygon_5"", ""polygon_3"", 30], [""circle"", ""polygon_3"", 28], [""polygon_4"", ""polygon_5"", 27], [""circle"", ""polygon_6"", 21], [""polygon_3"", ""polygon_5"", 15], [""polygon_4"", ""polygon_6"", 9], [""polygon_5"", ""polygon_6"", 9], [""polygon_4"", ""circle"", 7]]","{""geometric similarity or ambiguous mask"": 90, ""shape too small or mostly lost in extraction"": 85, ""small bounding box"": 49}"
cnn,6,6,400,382,0.253927,97,285,"[[""polygon_6"", ""polygon_5"", 35], [""polygon_4"", ""polygon_3"", 34], [""circle"", ""polygon_5"", 33], [""polygon_5"", ""polygon_3"", 30], [""circle"", ""polygon_3"", 28], [""polygon_4"", ""polygon_5"", 27], [""polygon_6"", ""polygon_3"", 23], [""circle"", ""polygon_6"", 21], [""polygon_3"", ""polygon_5"", 15], [""polygon_4"", ""polygon_6"", 9]]","{""geometric similarity or ambiguous mask"": 108, ""shape too small or mostly lost in extraction"": 110, ""small bounding box"": 67}"
