Path,Category,Label,Noise Density,Speckle Size,Frame Count,FPS,Duration,Movement Type,file_name
words/0ba9f2b37ab3.mp4,words,['quantum computers calculate'],50,3,131,39.23,3.34,static,words/0ba9f2b37ab3.mp4
words/634238bc4906.mp4,words,['sunflower fields wave'],50,3,118,36.97,3.19,static,words/634238bc4906.mp4
words/04f886cbeb6e.mp4,words,['nebulae glow bright'],50,3,149,29.8,5.0,static,words/04f886cbeb6e.mp4
words/69fbc63416fa.mp4,words,['cosmic wind blows'],50,3,150,30.0,5.0,static,words/69fbc63416fa.mp4
words/39a316fd07fd.mp4,words,['summer grass sways'],50,3,175,35.21,4.97,static,words/39a316fd07fd.mp4
words/00f1b8d9e4ed.mp4,words,['thunderstorm brewing'],50,3,88,33.05,2.66,static,words/00f1b8d9e4ed.mp4
words/6db3ded0423a.mp4,words,['silver moonbeams'],50,3,167,33.55,4.98,static,words/6db3ded0423a.mp4
words/7c8360ec2466.mp4,words,['aurora lights dance'],50,3,167,33.66,4.96,static,words/7c8360ec2466.mp4
words/dc6e8c60ba9c.mp4,words,['time crystals form'],50,3,173,34.89,4.96,static,words/dc6e8c60ba9c.mp4
words/a7f78cfe2974.mp4,words,['quantum bits flip'],50,3,170,34.24,4.97,static,words/a7f78cfe2974.mp4
words/9a83d0fe51ed.mp4,words,['quantum dots align'],50,3,169,33.97,4.98,static,words/9a83d0fe51ed.mp4
words/ac4f287587c9.mp4,words,['helium'],50,3,157,36.29,4.33,static,words/ac4f287587c9.mp4
words/969d477ec409.mp4,words,['floating paper lanterns'],50,3,169,33.92,4.98,static,words/969d477ec409.mp4
words/4d85ae63722e.mp4,words,['gentle stream bubbles'],50,3,176,35.42,4.97,static,words/4d85ae63722e.mp4
words/550975c7d7fe.mp4,words,['evening shadows lengthen'],50,3,163,34.6,4.71,static,words/550975c7d7fe.mp4
words/c2cd39d8ce54.mp4,words,['gentle rain falls'],50,3,146,33.36,4.38,static,words/c2cd39d8ce54.mp4
words/b1c869d30e0d.mp4,words,['thunder rolls distant'],50,3,40,39.07,1.02,static,words/b1c869d30e0d.mp4
words/4458e1b7d3c8.mp4,words,['meteor showers fall'],50,3,184,37.01,4.97,static,words/4458e1b7d3c8.mp4
